timestamp,conversation_id,customer_id,channel,send_time,message,reasoning
2025-06-29T18:01:54.479787+00:00,536410,244290,scheduling_phone_call,2014-10-14T16:16:39Z,"Hi, we're sorry you've had trouble reaching us. We've scheduled a callback to assist you personally.","Customer showed positive sentiment on a 'positive feedback' issue. Cluster behavior is 'quick_positive_resolution', so the system selected 'scheduling_phone_call' as the optimal channel for resolution."
2025-06-29T18:01:54.479787+00:00,2883270,799901,scheduling_phone_call,2015-12-07T14:51:34Z,"Hi, we're sorry you've had trouble reaching us. We've scheduled a callback to assist you personally.","Customer showed negative sentiment on a 'complaint' issue. Cluster behavior is 'unresponsive_user', so the system selected 'scheduling_phone_call' as the optimal channel for resolution."
2025-06-29T18:01:54.480725+00:00,896584,117196,scheduling_phone_call,2017-02-20T10:00:00Z,"Hi, we're sorry you've had trouble reaching us. We've scheduled a callback to assist you personally.","Customer showed neutral sentiment on a 'baggage issue' issue. Cluster behavior is 'unresponsive_user', so the system selected 'scheduling_phone_call' as the optimal channel for resolution."
2025-06-29T18:01:54.480725+00:00,609956,157436,scheduling_phone_call,2017-03-01T10:00:00Z,"Hi, we're sorry you've had trouble reaching us. We've scheduled a callback to assist you personally.","Customer showed positive sentiment on a 'complaint' issue. Cluster behavior is 'quick_positive_resolution', so the system selected 'scheduling_phone_call' as the optimal channel for resolution."
2025-06-29T18:01:54.480725+00:00,2456873,594160,scheduling_phone_call,2017-06-20T10:00:00Z,"Hi, we're sorry you've had trouble reaching us. We've scheduled a callback to assist you personally.","Customer showed negative sentiment on a 'complaint' issue. Cluster behavior is 'unresponsive_user', so the system selected 'scheduling_phone_call' as the optimal channel for resolution."
2025-06-29T18:01:54.480725+00:00,1118288,122136,scheduling_phone_call,2017-06-25T17:52:43Z,"Hi, we're sorry you've had trouble reaching us. We've scheduled a callback to assist you personally.","Customer showed positive sentiment on a 'positive feedback' issue. Cluster behavior is 'quick_positive_resolution', so the system selected 'scheduling_phone_call' as the optimal channel for resolution."
2025-06-29T18:01:54.480725+00:00,395242,169172,scheduling_phone_call,2017-06-30T10:00:00Z,"Hi, we're sorry you've had trouble reaching us. We've scheduled a callback to assist you personally.","Customer showed neutral sentiment on a 'positive feedback' issue. Cluster behavior is 'unresponsive_user', so the system selected 'scheduling_phone_call' as the optimal channel for resolution."
2025-06-29T18:01:54.480725+00:00,29937,122587,scheduling_phone_call,2017-07-06T10:00:00Z,"Hi, we're sorry you've had trouble reaching us. We've scheduled a callback to assist you personally.","Customer showed negative sentiment on a 'complaint' issue. Cluster behavior is 'unresponsive_user', so the system selected 'scheduling_phone_call' as the optimal channel for resolution."
2025-06-29T18:01:54.480725+00:00,442363,219875,scheduling_phone_call,2017-07-21T17:35:52Z,"Hi, we're sorry you've had trouble reaching us. We've scheduled a callback to assist you personally.","Customer showed negative sentiment on a 'baggage issue' issue. Cluster behavior is 'unresponsive_user', so the system selected 'scheduling_phone_call' as the optimal channel for resolution."
2025-06-29T18:01:54.481753+00:00,1144778,389430,scheduling_phone_call,2017-07-29T05:33:42Z,"Hi, we're sorry you've had trouble reaching us. We've scheduled a callback to assist you personally.","Customer showed negative sentiment on a 'baggage issue' issue. Cluster behavior is 'unresponsive_user', so the system selected 'scheduling_phone_call' as the optimal channel for resolution."
